No.,物件番号,物件種目,土地面積,所在地
18,100127204088,売地,104.12㎡,千葉県千葉市稲毛区稲毛台町
一般,"4,490万円",一低,43.2万円,
-,60%,142.6万円,総武中央線　稲毛,徒歩　9分
,150%,-,（株）アバンティア不動産　千葉営業所
,北西4.1m,043-331-6340
19,100126610870,売地,118.26㎡,千葉県市川市八幡１丁目
専任,"3,980万円",一住,33.7万円,
申込あり,60%,111.3万円,総武中央線　本八幡,徒歩　9分
,200%,一方,住友不動産販売（株）　本八幡営業センター
,南西6m,050-3112-8301
20,100126997944,売地,101.87㎡,東京都江戸川区東松本２丁目
専任,"3,990万円",一中,39.2万円,
公開中,60%,129.5万円,総武中央線　小岩,バス　8分
,150%,一方,（株）アサイホーム
,東,03-6458-0914
21,100126997911,売地,72.96㎡,東京都江戸川区東松本２丁目
専任,"3,090万円",一中,42.4万円,
公開中,60%,140.1万円,総武中央線　小岩,バス　8分
,150%,一方,（株）アサイホーム
,-,03-6458-0914
22,100117175092,売地,83.49㎡,千葉県千葉市稲毛区稲毛東２丁目
売主,"3,480万円",近商,41.7万円,
-,80%,137.8万円,総武線　稲毛,徒歩　7分/車　600km
,300%,二方,（株）千葉東建設
,南8.4m,043-216-5550
23,100127282011,売地,131.29㎡,千葉県市川市市川南３丁目
専任,"6,980万円",一住,53.2万円,
公開中,60%,175.8万円,総武線　市川,徒歩　10分
,160%,一方,東急リバブル（株）　錦糸町センター
,南西2.1m,03-5638-6109
24,100126227500,借地権,96.36㎡,東京都新宿区若葉３丁目
一般,"5,980万円",近商,62.1万円,
-,80%,205.2万円,総武中央線　信濃町,徒歩　9分
,300%,角地,住友不動産販売（株）　本社第３営業センター
,東5.8m,03-6880-8200
25,100127807547,売地,127.15㎡,千葉県千葉市花見川区花園町
専任,"2,280万円",一住,18.0万円,
申込あり,60%,59.3万円,総武中央線　新検見川,徒歩　6分
,200%,一方,住友不動産販売（株）　稲毛営業センター
,南東2.3m,050-3112-8285
26,100127063641,売地,158.37㎡,千葉県市川市八幡４丁目
売主,"5,680万円",一低,35.9万円,
-,40%,118.6万円,総武中央線　本八幡,徒歩　10分
,80%,一方,（株）友愛ハウジング
,北西4m,047-316-0101
27,100127158989,売地,156.80㎡,千葉県市川市八幡４丁目
売主,"7,040万円",一低,44.9万円,
-,40%,148.5万円,総武中央線　本八幡,徒歩　10分
,80%,一方,（株）友愛ハウジング
,北西4m,047-316-0101
28,100127503344,売地,151.28㎡,千葉県市川市八幡１丁目
専属,"6,480万円",一住,42.9万円,
公開中,60%,141.7万円,総武中央線　本八幡,徒歩　10分
,160%,一方,東急リバブル（株）　本八幡センター
,東3.2m,050-1808-8416
29,100127797235,売地,66.43㎡,東京都江東区亀戸５丁目
売主,"5,480万円",商業,82.5万円,
-,80%,272.8万円,総武中央線　亀戸,徒歩　5分
,240%,角地,（株）アセットインベスター
,西4.6m,03-3552-2103
30,100127796235,売地,199.54㎡,千葉県市川市八幡５丁目
一般,"8,480万円",一低,42.5万円,
-,40%,140.5万円,総武中央線　本八幡,徒歩　11分
,80%,一方,（株）優和住宅
,南2.7m,09026208641
31,100125747141,売地,178.69㎡,千葉県千葉市花見川区花園１丁目
一般,"6,480万円",一低,36.3万円,
-,60%,119.9万円,総武中央線　新検見川,徒歩　4分
,150%,一方,東急リバブル（株）　幕張ベイタウンセンター
,南4m,043-350-5650
32,100127683532,売地,175.20㎡,千葉県市川市市川１丁目
専属,"6,480万円",一住,37.0万円,
公開中,60%,122.3万円,総武線　市川,徒歩　6分
,160%,一方,東急リバブル（株）　本八幡センター
,北西4.8m,050-1808-8416
33,100127768396,売地,160.11㎡,千葉県千葉市花見川区浪花町
売主,"4,780万円",一低,29.9万円,
-,60%,98.7万円,総武中央線　新検見川,徒歩　10分
,150%,一方,（株）ハウスプロ
,南東6m,047-496-0001
34,100127766432,売地,137.52㎡,千葉県千葉市花見川区花園町
売主,"2,280万円",一住,16.6万円,
-,60%,54.9万円,総武中央線　新検見川,徒歩　8分
,200%,一方,（株）ウッディホーム
,西3.4m,043-309-7751
35,100127754060,売地,94.75㎡,東京都江戸川区松島３丁目
売主,"8,400万円",商業,88.7万円,
-,80%,293.1万円,総武線　新小岩,徒歩　8分
,400%,一方,イノリアエステート（株）
,北東6m,03-6458-8012
36,100126950401,売地,184.04㎡,千葉県千葉市稲毛区稲毛台町
専属,"8,450万円",一低,46.0万円,
公開中,70%,151.8万円,総武中央線　稲毛,徒歩　4分
,150%,角地,住友不動産販売（株）　稲毛営業センター
,北東5.9m,050-3112-8285
37,100127591878,売地,85.44㎡,東京都葛飾区新小岩２丁目
専任,"4,480万円",一住,52.5万円,
公開中,60%,173.4万円,総武中央線　新小岩,徒歩　8分
,160%,一方,住友不動産販売（株）　新小岩営業センター
,西1.7m,03-5678-8221
38,100127713785,売地,153.00㎡,千葉県千葉市稲毛区稲毛東５丁目
専属,"2,580万円",一住,16.9万円,
公開中,60%,55.8万円,総武線　稲毛,徒歩　10分
,160%,一方,スターツピタットハウス（株）　千葉店
,西4m,0432044861
39,100127371002,売地,96.67㎡,東京都江東区亀戸３丁目
専任,"9,180万円",準工,95.0万円,
公開中,60%,314.0万円,総武中央線　亀戸,徒歩　10分
,270%,一方,住友林業ホームサービス（株）　中野店
,南西4.5m,03-6382-8531
40,100126790596,売地,135.85㎡,千葉県千葉市花見川区花園町
専任,"3,080万円",一低,22.7万円,
公開中,60%,75.0万円,総武中央線　新検見川,徒歩　10分
,150%,一方,ライフトラスト（株）　津田沼店
,北東5m,047-409-9921
41,100126790590,売地,134.60㎡,千葉県千葉市花見川区花園町
専任,"3,180万円",一低,23.7万円,
公開中,60%,78.2万円,総武中央線　新検見川,徒歩　10分
,150%,一方,ライフトラスト（株）　津田沼店
,北東5m,047-409-9921
42,100126790573,売地,135.45㎡,千葉県千葉市花見川区花園町
専任,"2,870万円",一低,21.2万円,
公開中,60%,70.1万円,総武中央線　新検見川,徒歩　10分
,150%,一方,ライフトラスト（株）　津田沼店
,南西5m,047-409-9921
43,100126790580,売地,135.56㎡,千葉県千葉市花見川区花園町
専任,"2,840万円",一低,21.0万円,
公開中,60%,69.3万円,総武中央線　新検見川,徒歩　10分
,150%,一方,ライフトラスト（株）　津田沼店
,南西5m,047-409-9921
44,100126790555,売地,137.77㎡,千葉県千葉市花見川区花園町
専任,"2,840万円",一低,20.7万円,
公開中,60%,68.2万円,総武中央線　新検見川,徒歩　10分
,150%,一方,ライフトラスト（株）　津田沼店
,南5m,047-409-9921
45,100126009145,売地,171.21㎡,千葉県市川市八幡４丁目
専任,"5,670万円",一低,33.2万円,
公開中,40%,109.5万円,総武中央線　本八幡,徒歩　10分
,80%,-,（株）ミブコーポレーション　城東城北営業所
,-,050-3612-6995
46,100127655028,売地,149.34㎡,千葉県船橋市前原西３丁目
専任,"6,780万円",一住,45.4万円,
公開中,60%,150.1万円,総武中央線　津田沼,徒歩　9分
,200%,一方,三井不動産リアルティ（株）三井のリハウス津田沼センター
,南5m,047-475-3131
47,100127214775,売地,188.52㎡,千葉県市川市東菅野１丁目
一般,"5,000万円",一住,26.6万円,
-,60%,87.7万円,総武中央線　本八幡,徒歩　13分
,160%,-,積水ハウス不動産東京（株）東関東営業部　京葉営業所
,北4m,047-420-6311
48,100127081789,売地,163.07㎡,千葉県市川市八幡４丁目
売主,"5,880万円",一低,36.1万円,
-,40%,119.3万円,総武中央線　本八幡,徒歩　10分
,80%,一方,タカマツハウス（株）
,南西3.7m,070-7430-1047
49,100127617347,売地,166.48㎡,千葉県千葉市花見川区浪花町
売主,"3,980万円",一低,24.0万円,
-,60%,79.1万円,総武中央線　新検見川,徒歩　9分
,150%,一方,ランド・エスタ（株）
,南東4m,09019910404
50,100126020132,売地,86.37㎡,東京都墨田区立花６丁目
専属,"6,380万円",準工,73.9万円,
公開中,80%,244.2万円,東武亀戸線　東あずま,徒歩　9分
,200%,-,野村不動産ソリューションズ（株）　東陽町営業部
,南6.2m,03-5634-1071
51,100127605845,借地権,74.39㎡,東京都台東区浅草橋２丁目
専任,"6,300万円",商業,84.7万円,
公開中,80%,280.0万円,都営浅草線　浅草橋,徒歩　3分
,240%,一方,中沢商事（株）
,南4m,0338323200
52,100127574400,売地,82.64㎡,千葉県船橋市本町４丁目
専任,"5,480万円",商業,66.4万円,
公開中,80%,219.3万円,総武線　船橋,徒歩　6分
,400%,一方,ライフトラスト（株）　津田沼店
,北東5.4m,047-409-9921
53,100127296795,売地,112.06㎡,千葉県千葉市花見川区検見川町３丁目
専任,"3,690万円",一低,33.0万円,
公開中,50%,108.9万円,総武中央線　新検見川,徒歩　8分
,100%,角地,アートホーム（株）
,南東8m,047-401-3735
54,100127562219,売地,113.76㎡,東京都江戸川区平井３丁目
売主,"9,290万円",一住,81.7万円,
-,70%,270.0万円,総武中央線　平井,徒歩　8分
,252%,角地,（株）タウンエージェント
,南東6.3m,048-851-0370
55,100127550252,売地,160.00㎡,千葉県船橋市東船橋３丁目
専任,"7,280万円",一住,45.5万円,
公開中,60%,150.5万円,総武中央線　東船橋,徒歩　5分
,200%,一方,（株）日本資産総研　千葉支店
,南西6m,043-306-3927
56,100126435593,売地,96.66㎡,東京都新宿区荒木町
売主,"9,680万円",商業,100.2万円,
-,80%,331.1万円,丸ノ内線　四谷三丁目,徒歩　4分
,400%,一方,（株）トキオス
,-,03-5846-6900
57,100127374733,売地,90.72㎡,千葉県市川市鬼高２丁目
専任,"4,100万円",一住,45.2万円,
公開中,60%,149.5万円,総武中央線　下総中山,徒歩　10分
,200%,一方,三井不動産リアルティ（株）三井のリハウス本八幡センター
,北東4m,047-377-3134
58,100127473999,売地,186.58㎡,千葉県千葉市稲毛区小仲台６丁目
一般,"9,800万円",一住,52.6万円,
-,60%,173.7万円,総武線　稲毛,徒歩　3分
,200%,一方,（株）若狭建物
,南東6m,03-3912-3787
59,100127392362,売地,68.88㎡,千葉県船橋市市場１丁目
専任,"3,180万円",二住,46.2万円,
申込あり,60%,152.7万円,総武中央線　船橋,徒歩　10分
,160%,角地,三井不動産リアルティ（株）三井のリハウス船橋センター
,西4m,047-426-5531
60,100126139502,売地,133.60㎡,千葉県千葉市花見川区花園町
売主,"2,880万円",一住,21.6万円,
-,60%,71.3万円,総武中央線　新検見川,徒歩　6分
,200%,一方,日比野不動産（株）
,南2.7m,043-301-5656
61,100126182003,売地,65.71㎡,千葉県習志野市谷津１丁目
売主,"6,000万円",一住,91.4万円,
-,60%,301.9万円,総武線　津田沼,徒歩　7分
,200%,一方,（株）シー・エス・リアルエステート
,-,043-306-8230
62,100126182039,売地,74.75㎡,千葉県習志野市谷津１丁目
売主,"5,800万円",一住,77.6万円,
-,60%,256.6万円,総武線　津田沼,徒歩　7分
,200%,一方,（株）シー・エス・リアルエステート
,-,043-306-8230
63,100126183013,売地,74.73㎡,千葉県習志野市谷津１丁目
売主,"5,800万円",一住,77.7万円,
-,60%,256.6万円,総武線　津田沼,徒歩　7分
,200%,一方,（株）シー・エス・リアルエステート
,-,043-306-8230
64,100126183034,売地,73.41㎡,千葉県習志野市谷津１丁目
売主,"5,800万円",一住,79.1万円,
-,60%,261.2万円,総武線　津田沼,徒歩　7分
,200%,一方,（株）シー・エス・リアルエステート
,-,043-306-8230
65,100126416718,売地,66.39㎡,東京都墨田区緑２丁目
専属,"7,680万円",近商,115.7万円,
公開中,80%,382.5万円,大江戸線　両国,徒歩　9分
,240%,一方,住友不動産販売（株）　錦糸町営業センター
,東4m,03-3635-8711
66,100124165943,売地,76.93㎡,千葉県市川市市川３丁目
売主,"3,480万円",近商,45.3万円,
-,80%,149.6万円,総武中央線　市川,徒歩　10分
,200%,一方,（株）モリコーポレーション　市川店
,東4m,047-712-6030
67,100125039494,売地,193.91㎡,千葉県千葉市花見川区花園１丁目
売主,"5,830万円",一住,30.1万円,
-,60%,99.4万円,総武中央線　新検見川,徒歩　4分
,200%,一方,（株）ときや不動産
,東3.5m,0432530503
68,100119241460,売地,176.60㎡,千葉県市川市鬼越２丁目
専任,"3,860万円",一住,21.9万円,
公開中,60%,72.3万円,総武中央線　下総中山,徒歩　6分
,160%,一方,住友不動産販売（株）　新松戸営業センター
,南西2.3m,047-343-2828
69,100126919993,売地,194.93㎡,千葉県船橋市前原西３丁目
専属,"6,380万円",一住,32.8万円,
公開中,60%,108.2万円,総武線　津田沼,徒歩　9分
,160%,-,野村不動産ソリューションズ（株）　上野センター
,北東3.6m,03-5816-8510
70,100123846344,売地,128.80㎡,千葉県千葉市花見川区検見川町１丁目
専任,"3,580万円",一中,27.8万円,
公開中,60%,91.9万円,京成千葉線　検見川,徒歩　2分
,200%,一方,京葉こだま不動産（株）
,南4.5m,0433071185
71,100125745009,売地,195.54㎡,千葉県市川市南八幡５丁目
専属,"8,780万円",一住,45.0万円,
公開中,60%,148.5万円,総武中央線　本八幡,徒歩　5分
,160%,一方,住友不動産販売（株）　津田沼営業センター
,東3.2m,047-477-6050
72,100125949468,売地,139.53㎡,千葉県千葉市花見川区花園町
売主,"3,080万円",一低,22.1万円,
-,60%,73.0万円,総武中央線　新検見川,徒歩　10分
,150%,一方,ひらいホールディングス（株）　不動産部
,北東5.9m,09069426440
73,100126971307,売地,66.67㎡,東京都江戸川区松島４丁目
専任,"4,300万円",一住,64.5万円,
公開中,60%,213.3万円,総武中央線　新小岩,徒歩　8分
,300%,一方,三井不動産リアルティ（株）三井のリハウス新小岩センター
,東3.4m,03-3674-8831
74,100127303362,売地,75.56㎡,千葉県市川市新田４丁目
売主,"4,230万円",-,56.0万円,
-,-,185.1万円,総武線　市川,徒歩　10分
,-,-,（株）萬燈
,-,03-6451-1537
75,100125617694,売地,135.00㎡,千葉県千葉市花見川区検見川町５丁目
専属,"3,990万円",一低,29.6万円,
公開中,50%,97.8万円,総武中央線　新検見川,徒歩　10分
,100%,一方,東急リバブル（株）　幕張ベイタウンセンター
,南12m,043-350-5650
76,100123549310,売地,199.54㎡,千葉県市川市八幡５丁目
一般,"8,480万円",一低,42.5万円,
-,40%,140.5万円,総武中央線　本八幡,徒歩　11分
,80%,一方,東急リバブル（株）　本八幡センター
,南2.7m,050-1808-8416
77,100126828877,売地,75.07㎡,東京都江戸川区平井６丁目
専属,"5,180万円",一住,69.1万円,
公開中,60%,228.2万円,総武中央線　平井,徒歩　10分
,240%,一方,東急リバブル（株）　亀戸センター
,南西6m,03-6865-0109
78,100102729570,売地,144.81㎡,千葉県船橋市海神２丁目
専属,"4,100万円",一住,28.4万円,
公開中,60%,93.6万円,総武中央線　船橋,徒歩　9分
,200%,一方,三井不動産リアルティ（株）三井のリハウス船橋センター
,北東3.5m,047-426-5531
79,100127024866,売地,134.00㎡,千葉県千葉市花見川区武石町２丁目
専属,"5,200万円",一住,38.9万円,
公開中,60%,128.3万円,総武中央線　幕張,徒歩　7分
,200%,一方,東急リバブル（株）　幕張ベイタウンセンター
,南東9m,043-350-5650
80,100126846036,売地,77.57㎡,東京都墨田区立花４丁目
売主,"4,480万円",準工,57.8万円,
-,80%,191.0万円,総武中央線　平井,徒歩　10分
,200%,一方,（株）グランディアス
,東3.4m,07055666353
81,100126041415,売地,84.56㎡,千葉県市川市南八幡１丁目
売主,"3,500万円",一住,41.4万円,
-,60%,136.9万円,総武中央線　本八幡,徒歩　10分
,200%,一方,（株）アース
,北東3.2m,070-1359-9619
